Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready
b01,Vórtice 1,no,"4390,4",70x112 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,
b02,Vórtice 2,no,"4390,4",70x112 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,
b03,Vórtice 3,no,"4390,4",70x112 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,
b04,Vórtice 4,no,"862,4",35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,
b05,Vórtice 5,no,"1019,2",35x56 cm,1960,,3,Óleo sobre lienzo.,Con bastidor.,no,
b06,Vórtice 6,no,"862,4",35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,
b07,Vórtice 7,no,"862,4",35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,
b08,Vórtice 8,no,"862,4",35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,
b09,Vórtice 9,no,"1019,2",35x56 cm,1960,,3,Óleo sobre lienzo.,Con bastidor.,no,
b10,Vórtice 10,no,"1019,2",35x56 cm,1960,,3,Óleo sobre lienzo.,Con bastidor.,no,
b11,Vórtice 11,no,"940,8",35x56 cm,1960,,2,Óleo sobre lienzo.,Con bastidor.,no,
b12,Vórtice 12,sí,"2038,4",2 de 35x56 cm,3920,,3,Óleo sobre lienzo.,,no,
b13,Vórtice 13,sí,"518,4",4 de 18x18 cm,1296,,0,Óleo sobre cartón.,,no,
b14,Vórtice 14,sI,"4390,4",4 de 35x56 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,
b15,Vórtice 15,sí,"1330,56",6 de 28x18 cm,3024,,1,Óleo sobre lienzo.,Con bastidor.,no,
b16,Fusión hacia lo profundo,sí,9072,4 de 50x81 cm,16200,,4,Óleo sobre lienzo.,Con bastidor.,no,
