Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready
c01,Temurados,sí,"1192,8",2 de 100x65 cm,2130,A,4,Óleo sobre lienzo. En bastidor,Con bastidor.,no,
c02,El cónsul,no,"4742,08",116x73 cm,8468,A,4,Óleo sobre lienzo. Enmarcado.,,no,
c03,Vista subacuática del volcán.,no,"7276,64",146x89 cm,12994,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c04,Esquema convergente sobre fondo de volcanes,no,"7276,64",146x89 cm,12994,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c05,Composición egipcia,sí,"1724,8",4 de 35x22 cm,3080,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c06,Cuatro equilibrios Tarkenston,no,"5896,8",130x81 cm,10530,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c07,Treinta y dos equilibrios Tarkeston,no,"2948,4",65x81 cm,5265,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c08,Tan firme como un Tarkeston,no,"979,44",53x33 cm,1749,A,4,Óleo sobre lienzo. Enmarcado.,,no,
c09,Selva volcán,no,"12448,8",195x114 cm,22230,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c10,El vals del volcán,no,"7358,4",146x90 cm,13140,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c11,Paisaje de vals nocturno,no,"7358,4",146x90 cm,13140,A,4,Óleo sobre lienzo. Con bastidor.,,no,
c12,Piras,no,4536,81x100 cm,8100,A,4,Óleo sobre lienzo. Con bastidor.,,no,
,,,,,,,4,,,no,
,,,,,,,,,,no,
,,,,,,,,,,no,
,,,,,,,,,,no,
,,,,,,,,,,no,
,,,,,,,,,,no,
,,,,,,,,,,no,
,,,,,,,,,,no,
