Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready,
a000,Rosas degradadas,,0€,40x50,,A,,En este cuadro,,sí,no,
a001,Imagen del mar,,0€,40x40,,B,,En esta serie,,sí,no,
a002,SOL,,0€,40x40,,B,,En este cuadrooooo,,sí,no,
a003,Paisaje cristalino,sí,672,40x40 4 cuadros,1600,B,4,,,si,,
a004,Composición descorchándose,sí,"343,2",20x44 (2 de 20x22),880,B,3,,,no,,
a005,Paisaje húmedo,no,"143,64",21x19,399,B,2,,,no,,
a006,Ocho estudios de paisaje,sí,702,30x60 (4 de 30x15) ,1800,B,3,,,no,,
a007,Refracción 1,no,441,35x35,1225,A,2,,,no,,
a008,Congregación,no,"185,64",17x28,476,A,3,,,no,,No está en venta
a009,Decorativo 1,no,"514,5",35x35,1225,A,4,,,no,,
a010,Paisaje 'originante',no,"87,36",13x16,208,A,4,,,no,,No está en venta
a011,Triteselado vertical,sí,"312,12",(3 de 17x17),867,A,2,,,no,,
a012,Sin Título,pueden ir a012 y a013,132,20x20,400,A,1,,,no,,
a013,Sin Título,pueden ir a012 y a013,132,20x20,400,A,1,,,no,,
a014,Paisaje emergente,sí,312,2 de 20x20,800,A,3,,,no,,
a015,Sin Título,sí,624,40 x 40 (16 de 10x10),1600,A,3,,,no,,
a016,Sin Título,no,"137,94",19x22,418,A,1,,,no,,
a017,Sin Título,no,"137,94",19x22,418,C,1,,,no,,
a018,Sin Título,no,"137,94",19x22,418,B,1,,,no,,
a019,Columnado submarino,sí,288,40x40 (dos de 20x20),800,A,2,,,no,,
a020,Teselación gris semirreplicada,sí,"275,88",2 de 19x22,836,B,1,,,no aun,,
a021,Columnas teseladas 1,sí,576,4 de 20x20,1600,A,2,,,no aun,,
a022,Refracción 2,sí,"368,64",4 de 16x16,1024,A,2,,,no,,
a023,Refracción 3,sí,576,4 de 20x20,1600,B,2,,,no,,
a024,Refraccion 4,sí,"416,16",4 de 17x17,1156,B,2,,,no,,
a025,Fondo columnado rizado,sí,"368,64",4 de 16x16,1024,B,2,,,no,,
a026,Columnas en ascensión líquida,sí,288,2 de 20x20,800,B,2,,,no,,
a027,Columnas rizadas,no,"116,64",18x18,324,A,2,,,no,,
a028,Paisaje que reacciona 2,no,"305,76",28x28,784,A,3,,,no,,
a029,Paisaje que reacciona 1,no,"317,52",28x28?,784,A,"3,5",,,no,,
a030,Paisaje estirándose,sí,"658,56",2 de 28x28,1568,A,4,,,no,,
a031,Volcán que navega,sí,312,2 de 20x20,800,B,3,,,no,,
a032,Sin Título,sí,288,2 de 20x20,800,B,2,,,no,,
a033,Sin Título,sí,288,2 de 20x20,800,B,2,,,no,,
a034,Sin Título,no,144,20x20,400,B,2,,,no,,
a035,Sin Título,no,120,20x20,400,,,,,no aun,,
a036,Sin Título,no,0,?,0,,,,,no aun,,
a037,Sin Título,sí,"755,04",4 de 22x22,1936,,3,,,no aun,,
