Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready
c01,Trilogía electromagnética I,,1.572€,3 de 36x28 cm,3024,,3,Óleo sobre papel lienzo.,,sí,
c02,Trilogía electromagnética II,,1.572€,3 de 36x28 cm,3024,,3,Óleo sobre papel lienzo.,,no,
c03,Trilogía electromagnética III,,1.572€,3 de 36x28 cm,3024,,3,Óleo sobre papel lienzo.,,no,
c04,Trilogía electromagnética IV,,1.572€,3 de 36x28 cm,3024,,3,Óleo sobre papel lienzo.,,no,
c05,Trilogía electromagnética V,,1.572€,3 de 36x28 cm,3024,,3,Óleo sobre papel lienzo.,,no,
c06,Cuatro escalas electromagnéticas onduladas,,2.419€,4 de 42x30 cm,5040,,2,Óleo sobre papel lienzo. En restauración.,,no,
c07,Trilogía electromagnética VI,,1.572€,3 de 36x28 cm,3024,,3,Óleo sobre papel lienzo.,,no,
c08,Campo electromagnético ondulado I,,704€,41x33 cm,1353,,3,Óleo sobre lienzo.,,no,
c09,Campo electromagnético ondulado II,,704€,41x33 cm,1353,,3,Óleo sobre lienzo.,,no,
c10,Campo electromagnético disuelto I,,672€,40x30 cm,1200,,4,Óleo sobre papel lienzo.,,no,
c11,Campo electromagnético ondulado III,,758€,41x33 cm,1353,,4,Óleo sobre lienzo.,,no,
c12,Campo electromagnético disuelto II,,672€,40x30,1200,,4,Óleo sobre papel lienzo.,,no,
