Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready,Venta
a000,,,0€,40x50,,A,,,,sí,no,
a001,La ciudad sumergida en su reflejo I,no,1.352€,65x40 cm,2600,B,3,Óleo sobre cartón.,,no,no,
a002,La ciudad sumergida en su reflejo II,no,2.366€,65x65 cm,4225,B,4,Óleo sobre papel lienzo.,,no,no,
a003,Paisaje cristalino,sí,896€,4 de40x40 cm,1600,B,4,Óleo sobre papel lienzo.,,si,,
a004,Composición descorchándose,sí,458€,2 de 20x22 cm,880,B,3,Óleo sobre papel lienzo.,,no,,
a005,Paisaje húmedo,no,192€,21x19 cm,399,B,2,Óleo sobre papel lienzo.,,no,,
a006,Ocho estudios de paisaje,sí,936€,4 de 30x15 cm,1800,B,3,Óleo sobre papel lienzo.,,no,,
a007,Refracción I,no,588€,35x35 cm,1225,A,2,Óleo sobre lienzo.,,no,,
a008,Congregación,no,248€,17x28 cm,476,A,3,Óleo sobre lienzo.,,no,,no
a009,Decorativo I,no,686€,35x35 cm,1225,A,4,Óleo sobre lienzo.,,no,,
a010,Paisaje 'originante',no,116€,13x16 cm,208,A,4,Óleo sobre lienzo.,,no,,no
a011,Triteselado vertical,sí,416€,3 de 17x17 cm,867,A,2,Óleo sobre lienzo.,,no,,
a012,Sin Título,pueden ir a012 y a013,176€,20x20 cm,400,A,1,Óleo sobre lienzo.,,no,,
a013,Sin Título,pueden ir a012 y a013,176€,20x20 cm,400,A,1,Óleo sobre lienzo.,,no,,
a014,Paisaje emergente,sí,416€,2 de 20x20 cm,800,A,3,Óleo sobre lienzo.,,no,,
a015,Sin Título,sí,832€,16 de 10x10 cm,1600,A,3,Óleo sobre lienzo.,,no,,
a016,Sin Título,no,184€,19x22 cm,418,A,1,Óleo sobre lienzo.,,no,,
a017,Sin Título,no,184€,19x22 cm,418,C,1,Óleo sobre papel lienzo.,,no,,
a018,Sin Título,no,184€,19x22,418,B,1,Óleo sobre papel lienzo.,,no,,
